Pair,Initial Capital,Final Capital,Profit,Profit %,Total Trades,Total Buys,Winning Trades,Losing Trades,Win Rate %,Avg Profit,Avg Profit %,Max Equity,Min Equity
iBTCUSDM,10000,10024.50718517639,24.507185176388703,0.24507185176389615,1,4,1,0,100.0,24.507185176388703,1.3211865723987306,10052.1942631831,10000.0
iETHUSDM,10000,9888.509253121942,-111.49074687805751,-1.1149074687805842,1,6,0,1,0.0,-111.49074687805751,-4.20865737712215,10012.825536337767,9888.509253121942
WMTXUSDM,10000,10066.19142331061,66.19142331061016,0.6619142331061084,1,4,1,0,100.0,66.19142331061016,3.568391027223837,10066.19142331061,9991.410961334459
IAGUSDM,10000,9953.818789792977,-46.181210207023014,-0.4618121020702347,1,5,0,1,0.0,-46.181210207023014,-2.0414376090442428,10013.438315851212,9935.5844968448
SNEKUSDM,10000,10097.128121469228,97.12812146922874,0.9712812146922807,1,4,1,0,100.0,97.12812146922874,5.236193751499915,10097.128121469228,9989.234429517228
